position_0,position_1,position_2,density,radius
9.001805079729096465e-03,9.566304313094605664e-04,6.319378357389247381e-05,4.386056225191078738e+03,2.974718044614557954e-05
8.478496267315185908e-03,5.859023520042026031e-04,1.761816330884669306e-04,4.386043875594787096e+03,2.537940064801845968e-05
6.206096511631882182e-03,6.744902168027064587e-04,2.201527009326757138e-04,4.386057483212420266e+03,2.816446199410295036e-05
7.053462171007917822e-03,1.927409986350856180e-03,5.324362267673395620e-04,4.386060143907631755e+03,3.143109594995374987e-05
9.653294985963511987e-03,1.925764328804580516e-03,5.576071066421797902e-04,4.386058265976540497e+03,3.777672015122611319e-05
7.517183922667595303e-03,8.946280434906709851e-04,5.398180132942875060e-04,4.386029994380115568e+03,3.879548971651978112e-05
9.990944064775311717e-03,4.364925512547201698e-04,4.066128974168401020e-04,4.386056714118769378e+03,1.852222733894532704e-05
6.045818634969342409e-03,6.892075926644612932e-04,1.543300925863293855e-04,4.386040314753132407e+03,3.265674163383497879e-05
6.429012713455794885e-03,4.030680308783385389e-05,5.046028568914528046e-04,4.386018671427836125e+03,3.128695792344753958e-05
6.926951980127372260e-03,1.959545116162097664e-04,7.536380320318747622e-05,4.386046424231713900e+03,2.805163827115933419e-05
9.473903838242130754e-03,1.960532742206277847e-03,1.052393359820495683e-04,4.386047218255228472e+03,2.567184390484683349e-05
5.005347637874815736e-03,8.803172947140378230e-04,3.341909044980470415e-04,4.386048630793087796e+03,3.006294345602646625e-05
6.916776459884288117e-03,6.214958319297974156e-04,2.609776728837746515e-04,4.386058945415423295e+03,4.165439848814433537e-05
7.105422993696652867e-03,1.805883117521751326e-03,5.250124101173580773e-05,4.386041705573937179e+03,2.983164608187620365e-05
5.124279405213275074e-03,1.916472543963347033e-03,4.033388415727792850e-04,4.386042007758457657e+03,3.277411550136773551e-05
6.701233219124159805e-03,9.152058806832319513e-04,1.927271190413545865e-04,4.386024327656587957e+03,3.560053488202897956e-05
5.499047649824572587e-03,5.950822422198163942e-04,3.431741665227797415e-04,4.386058090618201277e+03,3.047120674052824452e-05
1.210743222861068030e-02,7.389352658773013210e-04,2.219781106363445764e-04,4.386052839608370959e+03,4.351518863280544021e-05
8.612545693094306870e-03,1.276738833176407992e-03,4.294341775135414861e-04,4.386043570415687100e+03,4.279449137679953053e-05
7.228885785807776486e-03,1.167763782030221660e-03,2.399473612384566399e-04,4.386058962974949281e+03,2.861037874483264492e-05
1.104248990147795387e-02,3.511190620070659286e-04,1.699352964898833362e-04,4.386051558755695623e+03,3.245987596064854846e-05
8.201052354486614016e-03,1.755881579167687485e-03,3.396744249315546116e-04,4.386048717345705882e+03,2.946472664749303917e-05
1.348197859203502033e-02,2.297188788106783747e-04,2.784304945912925927e-04,4.386050471892772293e+03,2.919360392535827296e-05
8.131509816820243694e-03,1.195971392988587302e-03,4.733530476563556745e-04,4.386055795566361667e+03,2.215911225550420423e-05
1.226496383857527198e-02,1.328775735376585502e-03,3.752638744098147120e-04,4.386056854859741179e+03,3.411824300065302752e-05
1.331871898424845727e-02,7.749442101870259456e-04,4.780130712617110017e-04,4.386040753911065622e+03,3.253906720683047486e-05
1.305737702542374840e-02,9.834685969070059569e-04,4.268980894972028255e-04,4.386032122439998602e+03,2.305399120598345948e-05
5.952903208850996233e-03,9.176648883474304488e-04,5.020357193544181147e-04,4.386033257804937421e+03,2.908698319700194846e-05
4.880580138018029979e-03,9.862973285827931829e-05,3.553215548902920488e-04,4.386055930433210051e+03,4.022035451243286230e-05
7.270544672591618129e-03,8.405340694116256303e-04,2.487791391570011597e-04,4.386068920984261240e+03,2.838487315720862998e-05
4.874993895903160027e-03,3.329434539724693309e-05,5.180574974502561618e-04,4.386046196462528314e+03,2.634942695280396388e-05
6.163572100198198671e-03,8.569401077284656250e-04,5.526254874716177070e-04,4.386034124385518226e+03,3.234617682100142903e-05
1.211416426555840357e-02,2.511941696549706217e-04,3.043437014862973231e-04,4.386061553426191495e+03,4.505896422076316427e-05
1.117819548483719484e-02,1.385504410684869001e-03,4.416729264283452208e-04,4.386066007911651468e+03,2.843137494541612471e-05
8.508914446778852864e-03,3.745915969911481043e-04,2.813889360534809121e-04,4.386069546081403132e+03,3.509310035970609814e-05
1.037085303907830588e-02,1.209227141597406761e-03,7.378301706038555615e-05,4.386054505335322574e+03,3.663725351304932709e-05
4.664447632418263975e-03,1.904136655801096653e-03,1.108250711258142602e-04,4.386067986962515533e+03,2.834880440790153947e-05
6.915267332330802749e-03,1.515981886287613841e-03,2.523153667102157678e-04,4.386014555292859768e+03,3.603249825906833936e-05
5.806882020044026524e-03,9.364659112203952947e-04,3.371591484289779457e-04,4.386029405998238872e+03,3.053543012725114318e-05
8.463006988087565241e-03,1.809013407883882860e-03,1.856606606777407953e-04,4.386028025783754856e+03,3.446594293524774211e-05
1.050299475428558352e-02,2.513293544835840934e-04,2.428003128551132280e-04,4.386059322115732357e+03,3.448484343704168891e-05
1.128286718545647507e-02,4.678082816559772997e-04,3.479337197830679237e-04,4.386025495438878352e+03,3.302238247510146612e-05
5.528494900756852036e-03,2.250527923900918820e-04,3.127906140045074671e-04,4.386049848521863169e+03,2.472878595265082894e-05
1.063549860788551293e-02,2.562482858529304005e-04,5.187742302524313287e-04,4.386048861967007724e+03,3.816818331604302753e-05
6.240196568905424443e-03,2.625942789466081625e-04,1.393339455684455396e-04,4.386041793158165092e+03,2.979235706807700895e-05
5.688344611671891649e-03,2.037165154419087992e-04,4.624283847445853374e-04,4.386068726394108126e+03,2.732204864602797491e-05
8.881247179511931461e-03,7.820379713962998447e-04,5.501693778001946495e-04,4.386034184162974270e+03,2.242135604591227044e-05
7.663162007604199660e-03,3.564827826950843969e-04,1.797171855701699354e-04,4.386043706542053769e+03,3.383706435392307084e-05
6.372187079383337220e-03,9.975711246679836667e-04,1.895731004026373853e-04,4.386062503246001143e+03,3.518078311597644961e-05
9.082551947131690256e-03,1.331729186240987288e-03,4.551465740902351713e-04,4.386019058079795286e+03,2.025378024795030572e-05
1.098131975689704831e-02,4.304218887211605786e-04,9.464184052093398548e-05,4.386057446352999250e+03,3.267637415650099890e-05
9.340745248458038122e-03,4.147668673300006323e-04,7.431746195711645383e-05,4.386064975190136465e+03,2.813674600824925419e-05
9.190000788144966209e-03,6.655969812567255747e-04,4.359302236457658153e-04,4.386074733994774761e+03,3.466572715416146313e-05
7.104841199838966316e-03,1.931532054189338691e-03,4.411258536725238947e-04,4.386069195235359985e+03,2.705378387077572993e-05
4.599593059852432816e-03,1.017117300559534834e-03,3.331388388604087291e-04,4.386042199042015454e+03,3.539944412851863428e-05
1.083669105200269975e-02,9.957294241937930408e-04,2.910868812211861076e-04,4.386053626725187314e+03,3.082560443993919162e-05
7.635118832953164542e-03,5.618264262915650606e-04,5.308125070616225884e-04,4.386026405345417515e+03,4.135769003886367217e-05
7.137870052681463511e-03,1.496832835155649847e-04,1.177776205030021912e-04,4.386039201609452903e+03,2.615866926270234833e-05
1.242265412615681762e-02,1.168048508025168681e-03,4.504758422527359654e-04,4.386028188323467475e+03,3.011775285439786509e-05
1.195076063988207218e-02,1.629998570013179793e-03,3.277886088301167739e-04,4.386042003400847534e+03,2.548337131973065281e-05
5.771009255323463448e-03,3.251963257724353219e-04,3.383479260352216132e-04,4.386069105790265894e+03,4.083782882401666378e-05
7.620644455224173663e-03,1.111539935518974934e-03,2.992061894776170219e-04,4.386043468938121805e+03,3.924793305337325128e-05
9.925780448862570743e-03,9.110081289924552156e-05,4.653759944428689755e-05,4.386052589322722270e+03,2.872185160257177753e-05
1.109224557460730676e-02,4.076735348320789589e-04,3.806959575439161332e-04,4.386047211399937623e+03,3.489890639602031571e-05
9.380255369672374846e-03,1.927204456980228251e-03,4.759141157830174755e-04,4.386048285263435901e+03,3.775934344259193387e-05
8.075161585744936033e-03,1.225070791103495841e-03,9.586796696775117281e-05,4.386080940605094838e+03,3.330753896618914765e-05
7.813385769377947584e-03,1.452370336588296867e-03,3.655231186543272796e-04,4.386041101640102170e+03,3.293277689473305054e-05
8.772925431045110189e-03,3.714492099610701642e-04,4.646521340217567146e-04,4.386055397787023139e+03,2.842759903000117443e-05
6.701954376833291552e-03,1.625044900095173276e-03,3.614235333949786157e-04,4.386046646981640151e+03,2.482730408818614130e-05
7.681547689708769638e-03,1.178235551802019141e-04,1.607771446254119296e-04,4.386024408396933723e+03,3.984928977254317719e-05
1.272625894378315650e-02,1.610540163288468616e-03,3.389306491011422843e-04,4.386049555423338461e+03,3.995373367497118762e-05
8.595598553526350924e-03,1.284138921109631267e-03,2.820762861606167151e-04,4.386064785612881678e+03,3.447822751624600034e-05
1.033771973319155130e-02,6.263968623099008771e-04,4.827306584632775092e-04,4.386028625247343371e+03,3.008543527960996425e-05
1.090167672873921557e-02,6.702364592878417519e-04,4.783968428458754141e-04,4.386025496674579699e+03,3.024625921962065744e-05
8.801235088935686207e-03,3.726991622224841341e-04,7.702624982545568273e-05,4.386033049294376724e+03,3.599297858464576796e-05
1.087520967734882660e-02,1.701144482436150410e-03,4.599645945314529208e-04,4.386061970177021067e+03,3.984588887366447420e-05
1.044585579053290345e-02,3.111055031185868823e-04,8.852415519426962089e-05,4.386059882397878027e+03,3.953349084078345297e-05
7.410005609404330708e-03,1.683567501659261620e-03,5.428851520127042944e-04,4.386052720961791238e+03,3.698714219332267843e-05
6.395310902634775488e-03,1.506045551564242756e-03,3.392073088186503462e-04,4.386048674778739951e+03,3.461672899617674682e-05
4.336248981020826218e-03,1.083729342573160450e-03,4.685699102912691807e-04,4.386070202926574893e+03,2.450531436161050379e-05
6.731791159797709777e-03,1.773456746289054286e-03,1.558713930332745448e-04,4.386062094409905512e+03,2.675963199386419288e-05
4.787051578897865908e-03,3.470104664530422340e-04,4.753138429216564051e-04,4.386064699289579949e+03,3.989265493932808910e-05
8.116098206601973786e-03,1.573656791926995218e-03,3.166115669496152472e-04,4.386064780609798618e+03,3.407078231702610565e-05
8.734247741898570894e-03,1.602138195379455366e-03,2.570063718712677732e-04,4.386056078312206409e+03,1.904139257089147028e-05
1.188485541506982372e-02,2.213776245002667983e-04,3.749414556259691371e-04,4.386048247482516672e+03,2.510818261377606084e-05
1.090631971032902416e-02,1.770294020218084099e-03,1.538667784170162905e-04,4.386068284392756141e+03,3.495484101766993903e-05
9.947818393392227412e-03,8.689130155423756751e-04,2.338781631152033911e-04,4.386073975400102427e+03,1.797845823187040312e-05
5.072161618519505089e-03,2.880279934447883459e-04,4.841708134645206999e-04,4.386017360034808917e+03,2.674017876850505977e-05
1.136848147229053974e-02,7.724977342192120401e-04,4.752722745218097974e-04,4.386023023163970720e+03,3.321242867769899659e-05
4.825241463554101433e-03,1.240710034452575461e-03,4.948275357104194765e-04,4.386078707279017181e+03,3.541525273832863677e-05
1.223924660072666856e-02,7.544127534870389163e-04,4.300856957739355091e-04,4.386040174964146900e+03,3.477214880340080629e-05
8.214636606690674248e-03,1.661164863753073753e-03,3.167287373674503091e-04,4.386068960414253525e+03,2.809367931573055288e-05
