position_0,position_1,position_2,density,radius
2.323263170721390366e-04,3.382206627018126670e-03,3.252572300317548948e-04,4.386043188698203267e+03,3.908325197884021679e-05
8.119386550963473984e-04,1.282715446986122405e-03,1.854995570668456625e-04,4.386072992948857973e+03,3.746914391007166105e-05
2.121749804292936969e-03,2.312414503222363189e-04,1.137814396457630599e-04,4.386046072095728050e+03,2.732316321376119700e-05
3.225943417325365884e-03,5.595882970946853023e-04,1.612068895526313995e-04,4.386032309299038388e+03,3.970148473678316816e-05
1.816566923015800871e-03,2.067351018129680740e-03,4.407286458507150167e-04,4.386059425294057291e+03,3.307463713753593597e-05
4.814540739273001830e-04,6.511342913787819325e-04,2.669488245528706767e-04,4.386040966766930069e+03,3.754858705540941178e-05
1.595767892344990757e-03,2.954784540331501560e-03,3.420134811336869888e-04,4.386051061921819382e+03,3.981316876508320015e-05
1.559187774859757810e-03,7.026290403180208109e-04,1.523539134119280809e-04,4.386058610782251890e+03,2.974718044614557954e-05
2.298171732682117128e-03,1.697641374088248827e-03,3.081988028602995972e-04,4.386071281879721028e+03,2.537940064801845968e-05
7.012601269233960464e-04,2.642448675472742342e-03,4.916651165770066908e-04,4.386063521611115902e+03,2.816446199410295036e-05
1.046974480323350316e-03,1.966590337691485283e-03,5.554237072019786031e-04,4.386057603704745816e+03,3.143109594995374987e-05
1.345566122403152364e-03,2.373004301347881716e-03,8.507954482075569269e-05,4.386057755303848353e+03,3.777672015122611319e-05
2.415834202040797237e-03,3.903679658559660324e-04,5.399087339771595087e-04,4.386076594795970777e+03,3.879548971651978112e-05
2.854661502948839351e-03,3.141964430331242123e-03,4.149016817208174015e-04,4.386041085762872171e+03,1.852222733894532704e-05
2.353055628409458748e-03,1.802922495076517530e-03,4.916174141140349126e-04,4.386003127373551251e+03,3.265674163383497879e-05
3.798756673555552833e-03,1.996205002051916824e-03,5.319181916423300826e-04,4.386039915700290294e+03,3.128695792344753958e-05
2.328656390659908197e-03,2.151383268933429981e-03,2.752433075936702549e-04,4.386037054159591207e+03,2.805163827115933419e-05
8.520772845349342635e-04,4.035950607328321214e-05,1.581757597026889231e-04,4.386056938010370686e+03,2.567184390484683349e-05
2.038308072097997671e-03,1.527057323374357307e-03,2.721885081569940532e-04,4.386055679011832581e+03,3.006294345602646625e-05
3.882550653315521710e-03,1.413563111350959979e-03,2.752933454129163904e-04,4.386053930128439788e+03,4.165439848814433537e-05
5.559278741443865468e-04,2.188012596279276852e-04,4.488138704216875809e-04,4.386014879755237416e+03,2.983164608187620365e-05
2.278099543200290313e-03,3.025730485325492380e-03,1.128685534731665129e-04,4.386060120979406747e+03,3.277411550136773551e-05
2.282200799382718727e-03,1.032110816736822850e-03,1.561993796864248108e-04,4.386042391277614115e+03,3.560053488202897956e-05
7.587283983826377412e-05,5.438908227476494132e-04,1.971845285128255327e-04,4.386057084646090516e+03,3.047120674052824452e-05
5.008582283679951629e-04,3.901149318277104781e-03,2.018343619096517078e-04,4.386052365218403793e+03,4.351518863280544021e-05
5.529359841594257792e-04,8.220844900494520251e-04,3.451155069069321789e-04,4.386043268895014990e+03,4.279449137679953053e-05
2.811198552561360161e-04,3.428997765097842754e-03,5.504924463151011698e-04,4.386031658767487897e+03,2.861037874483264492e-05
1.003430777293225478e-03,1.803620877146217341e-03,4.430358350859774221e-05,4.386028207587536599e+03,3.245987596064854846e-05
2.554548922292696443e-03,1.660776522552260886e-03,1.755854085433792417e-04,4.386065943854577199e+03,2.946472664749303917e-05
8.444654050229787783e-04,2.607099333185973478e-03,2.546220722428550656e-04,4.386073115446277370e+03,2.919360392535827296e-05
7.328340876684364454e-04,2.748055347216892506e-03,3.361594817729521441e-04,4.386056394283024019e+03,2.215911225550420423e-05
3.410213699062728324e-03,4.960056959774479740e-04,4.519070760820501466e-04,4.386029061772518617e+03,3.411824300065302752e-05
2.682774998493516350e-03,4.850981173132818064e-04,4.042138682778731039e-04,4.386045876338704147e+03,3.253906720683047486e-05
